,subject,prolific_id,trial_type,rt,background,deviant,block_type,trial_index,fam_trial,total_rt,response,question_order,rating_type
69,SS1695409121227,,curtain-display,,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_right_2.gif,deviant,22,1.0,,,,
70,SS1695410238056,,preload,,,,,0,,,,,
71,SS1695410238064,,preload,,,,,0,,,,,
72,SS1695410487146,,preload,,,,,0,,,,,
73,SS1695410487156,,preload,,,,,0,,,,,
74,SS1695412754725,,preload,,,,,0,,,,,
75,SS1695412754735,,preload,,,,,0,,,,,
76,SS1695414157038,,preload,,,,,0,,,,,
77,SS1695414157042,,preload,,,,,0,,,,,
78,SS1695414381103,,preload,,,,,0,,,,,
79,SS1695414381107,,preload,,,,,0,,,,,
80,SS1695414381107,,fullscreen,,,,,1,,,,,
81,SS1695414381107,,instructions,1195.0,,,,2,,,,,
82,SS1695414381107,,curtain-display,,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_right_2.gif,all_background,3,1.0,,,,
83,SS1695414381107,,curtain-display,209.0,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_right_2.gif,all_background,4,1.0,709.0,,,
84,SS1695414381107,,survey-likert,2232.0,,,,5,,,{'Q0': 3},[0],background
85,SS1695414381107,,curtain-display,,media/animal_stim/whitened/005_left_1.gif,media/animal_stim/whitened/005_right_2.gif,all_background,6,3.0,,,,
86,SS1695414381107,,curtain-display,,media/animal_stim/whitened/005_left_1.gif,media/animal_stim/whitened/005_right_2.gif,all_background,7,3.0,,,,
87,SS1695414381107,,curtain-display,,media/animal_stim/whitened/005_left_1.gif,media/animal_stim/whitened/005_right_2.gif,all_background,8,3.0,,,,
88,SS1695414381107,,curtain-display,221.0,media/animal_stim/whitened/005_left_1.gif,media/animal_stim/whitened/005_right_2.gif,all_background,9,3.0,721.0,,,
89,SS1695414381107,,survey-likert,3765.0,,,,10,,,{'Q0': 1},[0],background
90,SS1695414381107,,curtain-display,,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif,all_background,11,9.0,,,,
91,SS1695414381107,,curtain-display,,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif,all_background,12,9.0,,,,
92,SS1695414381107,,curtain-display,,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif,all_background,13,9.0,,,,
93,SS1695414381107,,curtain-display,,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif,all_background,14,9.0,,,,
94,SS1695414381107,,curtain-display,,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif,all_background,15,9.0,,,,
95,SS1695414381107,,curtain-display,,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif,all_background,16,9.0,,,,
96,SS1695414381107,,curtain-display,,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif,all_background,17,9.0,,,,
97,SS1695414381107,,curtain-display,,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif,all_background,18,9.0,,,,
98,SS1695414381107,,curtain-display,,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif,all_background,19,9.0,,,,
99,SS1695414381107,,curtain-display,22.0,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif,all_background,20,9.0,522.0,,,
100,SS1695415515442,,preload,,,,,0,,,,,
101,SS1695415515454,,preload,,,,,0,,,,,
102,SS1695420029824,,preload,,,,,0,,,,,
103,SS1695420029832,,preload,,,,,0,,,,,
104,SS1695420085045,,preload,,,,,0,,,,,
105,SS1695420085051,,preload,,,,,0,,,,,
106,SS1695420417726,,preload,,,,,0,,,,,
107,SS1695420417732,,preload,,,,,0,,,,,
108,SS1695421411504,,preload,,,,,0,,,,,
109,SS1695421411509,,preload,,,,,0,,,,,
110,SS1695421563430,,preload,,,,,0,,,,,
111,SS1695421563435,,preload,,,,,0,,,,,
112,SS1695422604641,,preload,,,,,0,,,,,
113,SS1695422604646,,preload,,,,,0,,,,,
114,SS1695423057706,,preload,,,,,0,,,,,
115,SS1695423057714,,preload,,,,,0,,,,,
116,SS1695423184875,,preload,,,,,0,,,,,
117,SS1695423184881,,preload,,,,,0,,,,,
118,SS1695423262838,,preload,,,,,0,,,,,
119,SS1695423262843,,preload,,,,,0,,,,,
120,SS1695424860429,,preload,,,,,0,,,,,
121,SS1695424860437,,preload,,,,,0,,,,,
122,SS1695424932897,,preload,,,,,0,,,,,
123,SS1695424932902,,preload,,,,,0,,,,,
124,SS1695425043879,,preload,,,,,0,,,,,
125,SS1695425043883,,preload,,,,,0,,,,,
126,SS1695425458129,,preload,,,,,0,,,,,
127,SS1695425458136,,preload,,,,,0,,,,,
128,SS1695430997608,,preload,,,,,0,,,,,
129,SS1695430997616,,preload,,,,,0,,,,,
130,SS1695431965793,,preload,,,,,0,,,,,
131,SS1695431965800,,preload,,,,,0,,,,,
132,SS1695432923674,,preload,,,,,0,,,,,
133,SS1695432923684,,preload,,,,,0,,,,,
134,SS1695433800584,,preload,,,,,0,,,,,
135,SS1695433800589,,preload,,,,,0,,,,,
136,SS1695438769733,,preload,,,,,0,,,,,
137,SS1695438769740,,preload,,,,,0,,,,,
138,SS1695440303415,,preload,,,,,0,,,,,
139,SS1695440303423,,preload,,,,,0,,,,,
140,SS1695441320450,,preload,,,,,0,,,,,
141,SS1695441320455,,preload,,,,,0,,,,,
142,SS1695442046561,,preload,,,,,0,,,,,
143,SS1695442046568,,preload,,,,,0,,,,,
144,SS1695442506650,,preload,,,,,0,,,,,
145,SS1695442506657,,preload,,,,,0,,,,,
146,SS1695443050845,,preload,,,,,0,,,,,
147,SS1695443050853,,preload,,,,,0,,,,,
148,SS1695448169666,,preload,,,,,0,,,,,
149,SS1695448169674,,preload,,,,,0,,,,,
150,SS1695448545750,,preload,,,,,0,,,,,
151,SS1695448545756,,preload,,,,,0,,,,,
152,SS1695448610282,,preload,,,,,0,,,,,
153,SS1695448610287,,preload,,,,,0,,,,,
154,SS1695449701960,,preload,,,,,0,,,,,
155,SS1695449701968,,preload,,,,,0,,,,,
156,SS1695450482590,,preload,,,,,0,,,,,
157,SS1695450482598,,preload,,,,,0,,,,,
158,SS1695450858982,,preload,,,,,0,,,,,
159,SS1695450858989,,preload,,,,,0,,,,,
160,SS1695451062249,,preload,,,,,0,,,,,
161,SS1695451062256,,preload,,,,,0,,,,,
162,SS1695452570827,,preload,,,,,0,,,,,
163,SS1695452570834,,preload,,,,,0,,,,,
164,SS1695452700530,,preload,,,,,0,,,,,
165,SS1695452700536,,preload,,,,,0,,,,,
166,SS1695453208737,,preload,,,,,0,,,,,
167,SS1695453208745,,preload,,,,,0,,,,,
168,SS1695457519891,,preload,,,,,0,,,,,
169,SS1695457519897,,preload,,,,,0,,,,,
170,SS1695459831543,,preload,,,,,0,,,,,
171,SS1695459831550,,preload,,,,,0,,,,,
172,SS1695462380242,,preload,,,,,0,,,,,
173,SS1695462380248,,preload,,,,,0,,,,,
174,SS1695467492864,,preload,,,,,0,,,,,
175,SS1695467492868,,preload,,,,,0,,,,,
176,SS1695472000718,,preload,,,,,0,,,,,
177,SS1695472000729,,preload,,,,,0,,,,,
178,SS1695476837346,,preload,,,,,0,,,,,
179,SS1695476837352,,preload,,,,,0,,,,,
180,SS1695479221922,,preload,,,,,0,,,,,
181,SS1695479221928,,preload,,,,,0,,,,,
182,SS1695481389807,,preload,,,,,0,,,,,
183,SS1695481389817,,preload,,,,,0,,,,,
184,SS1695482347173,,preload,,,,,0,,,,,
185,SS1695482347180,,preload,,,,,0,,,,,
186,SS1695482927603,,preload,,,,,0,,,,,
187,SS1695482927611,,preload,,,,,0,,,,,
188,SS1695488070817,,preload,,,,,0,,,,,
189,SS1695488070828,,preload,,,,,0,,,,,
190,SS1695490012736,,preload,,,,,0,,,,,
191,SS1695490012745,,preload,,,,,0,,,,,
192,SS1695493744085,,preload,,,,,0,,,,,
193,SS1695493744091,,preload,,,,,0,,,,,
194,SS1695493985428,,preload,,,,,0,,,,,
195,SS1695493985436,,preload,,,,,0,,,,,
196,SS1695494491410,,preload,,,,,0,,,,,
197,SS1695494491417,,preload,,,,,0,,,,,
198,SS1695497128180,,preload,,,,,0,,,,,
199,SS1695497128187,,preload,,,,,0,,,,,
200,SS1695497204885,,preload,,,,,0,,,,,
201,SS1695497204891,,preload,,,,,0,,,,,
202,SS1695497355363,,preload,,,,,0,,,,,
203,SS1695497355368,,preload,,,,,0,,,,,
204,SS1695497436370,,preload,,,,,0,,,,,
205,SS1695497436378,,preload,,,,,0,,,,,
206,SS1695497611199,,preload,,,,,0,,,,,
207,SS1695497611205,,preload,,,,,0,,,,,
208,SS1695500414688,,preload,,,,,0,,,,,
209,SS1695500414695,,preload,,,,,0,,,,,
210,SS1695500694269,,preload,,,,,0,,,,,
211,SS1695500694276,,preload,,,,,0,,,,,
212,SS1695501448290,,preload,,,,,0,,,,,
213,SS1695501448296,,preload,,,,,0,,,,,
214,SS1695502192906,,preload,,,,,0,,,,,
215,SS1695502192917,,preload,,,,,0,,,,,
216,SS1695502348636,,preload,,,,,0,,,,,
217,SS1695502348641,,preload,,,,,0,,,,,
218,SS1695504041088,,preload,,,,,0,,,,,
219,SS1695504041093,,preload,,,,,0,,,,,
220,SS1695507014544,,preload,,,,,0,,,,,
221,SS1695507014549,,preload,,,,,0,,,,,
222,SS1695507071126,,preload,,,,,0,,,,,
223,SS1695507071131,,preload,,,,,0,,,,,
224,SS1695508311434,,preload,,,,,0,,,,,
225,SS1695508311437,,preload,,,,,0,,,,,
226,SS1695508396048,,preload,,,,,0,,,,,
227,SS1695508396056,,preload,,,,,0,,,,,
228,SS1695508497614,,preload,,,,,0,,,,,
229,SS1695508497620,,preload,,,,,0,,,,,
230,SS1695508854829,,preload,,,,,0,,,,,
231,SS1695508854836,,preload,,,,,0,,,,,
232,SS1695509005672,,preload,,,,,0,,,,,
233,SS1695509005675,,preload,,,,,0,,,,,
234,SS1695509087502,,preload,,,,,0,,,,,
235,SS1695509087506,,preload,,,,,0,,,,,
236,SS1695509198947,,preload,,,,,0,,,,,
237,SS1695509198951,,preload,,,,,0,,,,,
238,SS1695509393105,,preload,,,,,0,,,,,
239,SS1695509393111,,preload,,,,,0,,,,,
240,SS1695509621113,,preload,,,,,0,,,,,
241,SS1695509621118,,preload,,,,,0,,,,,
242,SS1695509821618,,preload,,,,,0,,,,,
243,SS1695509821621,,preload,,,,,0,,,,,
244,SS1695510010358,,preload,,,,,0,,,,,
245,SS1695510010364,,preload,,,,,0,,,,,
246,SS1695510184202,,preload,,,,,0,,,,,
247,SS1695510184208,,preload,,,,,0,,,,,
248,SS1695510386724,,preload,,,,,0,,,,,
249,SS1695510386729,,preload,,,,,0,,,,,
250,SS1695510592488,,preload,,,,,0,,,,,
251,SS1695510592493,,preload,,,,,0,,,,,
252,SS1695510778237,,preload,,,,,0,,,,,
253,SS1695510778243,,preload,,,,,0,,,,,
254,SS1695510971462,,preload,,,,,0,,,,,
255,SS1695510971468,,preload,,,,,0,,,,,
256,SS1695511138035,,preload,,,,,0,,,,,
257,SS1695511138040,,preload,,,,,0,,,,,
258,SS1695511332428,,preload,,,,,0,,,,,
259,SS1695511332434,,preload,,,,,0,,,,,
260,SS1695511495096,,preload,,,,,0,,,,,
261,SS1695511495100,,preload,,,,,0,,,,,
262,SS1695512195638,,preload,,,,,0,,,,,
263,SS1695512195645,,preload,,,,,0,,,,,
264,SS1695513167365,,preload,,,,,0,,,,,
265,SS1695513167371,,preload,,,,,0,,,,,
266,SS1695515206260,,preload,,,,,0,,,,,
267,SS1695515206265,,preload,,,,,0,,,,,
268,SS1695515218273,,preload,,,,,0,,,,,
269,SS1695515218283,,preload,,,,,0,,,,,
270,SS1695515587570,,preload,,,,,0,,,,,
271,SS1695515587576,,preload,,,,,0,,,,,
272,SS1695518194779,,preload,,,,,0,,,,,
273,SS1695518194785,,preload,,,,,0,,,,,
274,SS1695518270808,,preload,,,,,0,,,,,
275,SS1695518270812,,preload,,,,,0,,,,,
276,SS1695518508738,,preload,,,,,0,,,,,
277,SS1695518508743,,preload,,,,,0,,,,,
278,SS1695521513989,,preload,,,,,0,,,,,
279,SS1695521513996,,preload,,,,,0,,,,,
280,SS1695522639023,,preload,,,,,0,,,,,
281,SS1695522639027,,preload,,,,,0,,,,,
282,SS1695523147109,,preload,,,,,0,,,,,
283,SS1695523147117,,preload,,,,,0,,,,,
284,SS1695523526435,,preload,,,,,0,,,,,
285,SS1695523526442,,preload,,,,,0,,,,,
286,SS1695523583624,,preload,,,,,0,,,,,
287,SS1695523583629,,preload,,,,,0,,,,,
288,SS1695523698355,,preload,,,,,0,,,,,
289,SS1695523698360,,preload,,,,,0,,,,,
290,SS1695528826331,,preload,,,,,0,,,,,
291,SS1695528826336,,preload,,,,,0,,,,,
292,SS1695532111378,,preload,,,,,0,,,,,
293,SS1695532111385,,preload,,,,,0,,,,,
294,SS1695532890149,,preload,,,,,0,,,,,
295,SS1695532890156,,preload,,,,,0,,,,,
296,SS1695538018411,,preload,,,,,0,,,,,
297,SS1695538018414,,preload,,,,,0,,,,,
298,SS1695538441142,,preload,,,,,0,,,,,
299,SS1695538441148,,preload,,,,,0,,,,,
300,SS1695540782413,,preload,,,,,0,,,,,
301,SS1695540782420,,preload,,,,,0,,,,,
302,SS1695541736713,,preload,,,,,0,,,,,
303,SS1695541736718,,preload,,,,,0,,,,,
304,SS1695542129518,,preload,,,,,0,,,,,
305,SS1695542129523,,preload,,,,,0,,,,,
306,SS1695542419088,,preload,,,,,0,,,,,
307,SS1695542419094,,preload,,,,,0,,,,,
308,SS1695542742567,,preload,,,,,0,,,,,
309,SS1695542742573,,preload,,,,,0,,,,,
310,SS1695543384105,,preload,,,,,0,,,,,
311,SS1695543384109,,preload,,,,,0,,,,,
312,SS1695548555134,,preload,,,,,0,,,,,
313,SS1695548555140,,preload,,,,,0,,,,,
314,SS1695552572988,,preload,,,,,0,,,,,
315,SS1695552573006,,preload,,,,,0,,,,,
316,SS1695557730615,,preload,,,,,0,,,,,
317,SS1695557730623,,preload,,,,,0,,,,,
318,SS1695562590329,,preload,,,,,0,,,,,
319,SS1695562590335,,preload,,,,,0,,,,,
320,SS1695565884626,,preload,,,,,0,,,,,
321,SS1695565884631,,preload,,,,,0,,,,,
322,SS1695568020485,,preload,,,,,0,,,,,
323,SS1695568020491,,preload,,,,,0,,,,,
324,SS1695568788217,,preload,,,,,0,,,,,
325,SS1695568788221,,preload,,,,,0,,,,,
326,SS1695569051049,,preload,,,,,0,,,,,
327,SS1695569051054,,preload,,,,,0,,,,,
328,SS1695570457352,,preload,,,,,0,,,,,
329,SS1695570457359,,preload,,,,,0,,,,,
330,SS1695575022534,,preload,,,,,0,,,,,
331,SS1695575022541,,preload,,,,,0,,,,,
332,SS1695577909714,,preload,,,,,0,,,,,
333,SS1695577909718,,preload,,,,,0,,,,,
334,SS1695578582963,,preload,,,,,0,,,,,
335,SS1695578582969,,preload,,,,,0,,,,,
336,SS1695578645837,,preload,,,,,0,,,,,
337,SS1695578645946,,preload,,,,,0,,,,,
338,SS1695581837043,,preload,,,,,0,,,,,
339,SS1695581837050,,preload,,,,,0,,,,,
340,SS1695582529715,,preload,,,,,0,,,,,
341,SS1695582529720,,preload,,,,,0,,,,,
342,SS1695582606963,,preload,,,,,0,,,,,
343,SS1695582606968,,preload,,,,,0,,,,,
344,SS1695584474782,,preload,,,,,0,,,,,
345,SS1695584474786,,preload,,,,,0,,,,,
346,SS1695584692291,,preload,,,,,0,,,,,
347,SS1695584692296,,preload,,,,,0,,,,,
348,SS1695588858832,,preload,,,,,0,,,,,
349,SS1695588858837,,preload,,,,,0,,,,,
350,SS1695592865387,,preload,,,,,0,,,,,
351,SS1695592865393,,preload,,,,,0,,,,,
352,SS1695592945162,,preload,,,,,0,,,,,
353,SS1695592945167,,preload,,,,,0,,,,,
354,SS1695593816709,,preload,,,,,0,,,,,
355,SS1695593816713,,preload,,,,,0,,,,,
356,SS1695594622688,,preload,,,,,0,,,,,
357,SS1695594622694,,preload,,,,,0,,,,,
358,SS1695594909680,,preload,,,,,0,,,,,
359,SS1695594909685,,preload,,,,,0,,,,,
360,SS1695597061699,,preload,,,,,0,,,,,
361,SS1695597061703,,preload,,,,,0,,,,,
362,SS1695605679306,,preload,,,,,0,,,,,
363,SS1695605679311,,preload,,,,,0,,,,,
364,SS1695609737873,,preload,,,,,0,,,,,
365,SS1695609737877,,preload,,,,,0,,,,,
366,SS1695616538738,,preload,,,,,0,,,,,
367,SS1695616538743,,preload,,,,,0,,,,,
368,SS1695618025875,,preload,,,,,0,,,,,
369,SS1695618025879,,preload,,,,,0,,,,,
370,SS1695618699255,,preload,,,,,0,,,,,
371,SS1695618699260,,preload,,,,,0,,,,,
372,SS1695624310771,,preload,,,,,0,,,,,
373,SS1695624310775,,preload,,,,,0,,,,,
374,SS1695627147057,,preload,,,,,0,,,,,
375,SS1695627147060,,preload,,,,,0,,,,,
376,SS1695640884315,,preload,,,,,0,,,,,
377,SS1695640884321,,preload,,,,,0,,,,,
378,SS1695646928760,,preload,,,,,0,,,,,
379,SS1695646928768,,preload,,,,,0,,,,,
380,SS1695655607751,,preload,,,,,0,,,,,
381,SS1695655607754,,preload,,,,,0,,,,,
382,SS1695656733249,,preload,,,,,0,,,,,
383,SS1695656733253,,preload,,,,,0,,,,,
384,SS1695659264881,,preload,,,,,0,,,,,
385,SS1695659264888,,preload,,,,,0,,,,,
386,SS1696309724640,,preload,,,,,0,,,,,
387,SS1696309724635,,preload,,,,,0,,,,,
388,SS1696309724640,,fullscreen,,,,,1,,,,,
389,SS1696309724640,,instructions,684.0,,,,2,,,,,
390,SS1696309724640,,curtain-display,,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif,all_background,3,1.0,,,,
391,SS1696357295459,,preload,,,,,0,,,,,
392,SS1696357295454,,preload,,,,,0,,,,,
393,SS1696357295459,,fullscreen,,,,,1,,,,,
394,SS1696357295459,,instructions,1680.0,,,,2,,,,,
395,SS1696357295459,,instructions,1989.0,,,,3,,,,,
396,SS1696357295459,,curtain-display,,,,,4,,,,,
397,SS1696357295459,,curtain-display,,,,,5,,,,,
398,SS1696357295459,,curtain-display,359.0,,,,6,,859.0,,,
399,SS1696357295459,,instructions,4559.0,,,,7,,,,,
400,SS1696357295459,,curtain-display,,media/animal_stim/whitened/006_right_1.gif,media/animal_stim/whitened/006_right_2.gif,all_background,8,1.0,,,,
401,SS1696357295459,,curtain-display,464.0,media/animal_stim/whitened/006_right_1.gif,media/animal_stim/whitened/006_right_2.gif,all_background,9,1.0,964.0,,,
402,SS1696357295459,,survey-likert,44243.0,,,,10,,,{'Q0': 3},[0],background
403,SS1696357295459,,curtain-display,,media/animal_stim/whitened/004_right_2.gif,media/animal_stim/whitened/004_left_1.gif,all_background,11,3.0,,,,
404,SS1696357295459,,curtain-display,,media/animal_stim/whitened/004_right_2.gif,media/animal_stim/whitened/004_left_1.gif,all_background,12,3.0,,,,
405,SS1696357295459,,curtain-display,,media/animal_stim/whitened/004_right_2.gif,media/animal_stim/whitened/004_left_1.gif,all_background,13,3.0,,,,
406,SS1696357295459,,curtain-display,144.0,media/animal_stim/whitened/004_right_2.gif,media/animal_stim/whitened/004_left_1.gif,all_background,14,3.0,644.0,,,
407,SS1696357295459,,survey-likert,5084.0,,,,15,,,{'Q0': 3},[0],background
408,SS1696357295459,,curtain-display,,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_left_2.gif,all_background,16,9.0,,,,
409,SS1696357295459,,curtain-display,,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_left_2.gif,all_background,17,9.0,,,,
410,SS1696357295459,,curtain-display,,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_left_2.gif,all_background,18,9.0,,,,
411,SS1696357295459,,curtain-display,,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_left_2.gif,all_background,19,9.0,,,,
412,SS1696357295459,,curtain-display,,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_left_2.gif,all_background,20,9.0,,,,
413,SS1696357295459,,curtain-display,,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_left_2.gif,all_background,21,9.0,,,,
414,SS1696357295459,,curtain-display,,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_left_2.gif,all_background,22,9.0,,,,
415,SS1696357295459,,curtain-display,,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_left_2.gif,all_background,23,9.0,,,,
416,SS1696357295459,,curtain-display,,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_left_2.gif,all_background,24,9.0,,,,
417,SS1696357295459,,curtain-display,1841.0,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_left_2.gif,all_background,25,9.0,2341.0,,,
418,SS1696357295459,,survey-likert,1834.0,,,,26,,,{'Q0': 3},[0],background
419,SS1696357295459,,curtain-display,,media/animal_stim/whitened/001_left_1.gif,media/animal_stim/whitened/001_right_2.gif,deviant,27,1.0,,,,
