subject,age,ethnicity,gender,education
SS1618435652058,30,Asian,Female,Master's Degree
SS1618435653305,32,Black or African American,Female,Bachelor's Degree
SS1618435653535,31,White,Female,Associate Degree/Technical certification
SS1618435653779,20,White,Male,High school diploma
SS1618435655734,20,White,Male,Bachelor's Degree
SS1618435655877,21,White,Female,High school diploma
SS1618435655897,32,Hispanic or Latino,Male,Master's Degree
SS1618435656115,42,White,Male,Bachelor's Degree
SS1618435656585,22,Other,Male,High school diploma
SS1618435657040,18,White,Male,High school diploma
SS1618435657419,52,White,Female,Master's Degree
SS1618435657512,21,White,Male,High school diploma
SS1618435657562,23,White,Female,High school diploma
SS1618435657644,48,White,Male,Bachelor's Degree
SS1618435659739,67,White,Female,Some high school
SS1618435660143,27,Hispanic or Latino,Male,Bachelor's Degree
SS1618435666296,23,Black or African American,Female,High school diploma
SS1618435666737,23,White,Male,Associate Degree/Technical certification
SS1618435669292,27,Hispanic or Latino,Male,Bachelor's Degree
SS1618435676661,26,White,Male,Bachelor's Degree
SS1618435685103,19,White,Female,Some high school
SS1618435687525,19,White,Male,High school diploma
SS1618435688404,32,White,Female,Bachelor's Degree
SS1618435691515,20,White,Male,Some high school
SS1618435692759,35,White,Male,Bachelor's Degree
SS1618435699599,39,White,Male,High school diploma
SS1618435714955,20,Black or African American,Female,High school diploma
SS1618435720994,20,White,Female,High school diploma
SS1618435722789,29,Black or African American,Female,Bachelor's Degree
SS1618435764153,20,White,Male,High school diploma
SS1618435779966,29,White,Female,Master's Degree
SS1618435823438,29,White,Male,Bachelor's Degree
SS1618435834866,33,White,Male,Bachelor's Degree
SS1618435870907,22,White,Male,Master's Degree
SS1618435893240,19,White,Male,High school diploma
SS1618435936879,21,White,Male,High school diploma
SS1618436397626,25,Black or African American,Female,High school diploma
SS1618437658485,21,White,Male,Bachelor's Degree
SS1618438051145,20,Hispanic or Latino,Female,High school diploma
SS1618438130579,18,White,Male,High school diploma
SS1618438527994,48,White,Male,Master's Degree
